,state_id,STATEFP,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
0,AK,02,150262,185769,13442,0.42996740806872064,0.5315689624091131,0.03846362952216623,0,1,0
1,AL,01,843473,1434159,32268,0.3651556344430495,0.6208749296506342,0.01396943590631629,0,1,0
2,AR,05,419863,757833,34288,0.34642619044475836,0.6252830070363965,0.028290802518845134,0,1,0
3,AZ,04,1672143,1661686,52016,0.4938628318780098,0.4907743857146443,0.015362782407345876,1,0,0
4,CA,06,10761303,5751655,361985,0.6377089984837282,0.3408399660964781,0.021451035419793714,1,0,0
5,CO,08,1803921,1364202,87939,0.554019241648347,0.4189729802442337,0.02700777810741933,1,0,0
6,CT,09,1080387,714973,28572,0.5923395170433986,0.39199542526804726,0.01566505768855418,1,0,0
7,DC,11,307265,18172,8245,0.9208318099268166,0.054459035848502466,0.024709154224680983,1,0,0
8,DE,10,296268,200603,7139,0.5878216702049562,0.39801392829507354,0.014164401499970239,1,0,0
9,FL,12,5296972,5668640,101471,0.47862404212564413,0.5122072365410109,0.00916872133334502,0,1,0
10,GA,13,2472230,2458025,62517,0.4951618059066186,0.4923166930114173,0.012521501081964087,1,0,0
11,HI,15,366070,196800,11471,0.6373739642477204,0.34265358036427834,0.019972455388001204,1,0,0
12,IA,19,758839,897415,31979,0.4494871264807642,0.5315705829704787,0.018942290548757193,0,1,0
13,ID,16,287031,554128,26966,0.3306332613390929,0.6383043916486681,0.03106234701223902,0,1,0
14,IL,17,3403152,2418695,117474,0.572986710096996,0.4072342612901374,0.01977902861286669,1,0,0
15,IN,18,1241506,1729114,64003,0.40911375152696067,0.5697953254819462,0.02109092299109313,0,1,0
16,KS,20,551199,753370,29761,0.41309046487750406,0.5646054574205781,0.022304077701917818,0,1,0
17,KY,21,772223,1326347,36623,0.36166426173184346,0.621183658807424,0.017152079460732588,0,1,0
18,LA,22,856034,1255776,36252,0.39851456801526214,0.5846088241400853,0.01687660784465253,0,1,0
19,MA,25,2282420,1136471,79790,0.6523658487298499,0.32482841390798417,0.022805737362165915,1,0,0
20,MD,24,1905407,958547,55928,0.6525630145327791,0.3282827867701503,0.019154198697070635,1,0,0
21,ME,23,420357,341949,24031,0.5345761422901377,0.43486316935359776,0.03056068835626455,1,0,0
22,MI,26,2795975,2648577,88688,0.505305209967397,0.4786665678698195,0.01602822216278347,1,0,0
23,MN,27,1716312,1483750,68310,0.5251274946670698,0.4539721916599457,0.020900313672984592,1,0,0
24,MO,29,1242851,1711848,55617,0.4128639651119683,0.5686605658675036,0.018475469020528077,0,1,0
25,MS,28,503030,739132,18628,0.3989800046002903,0.5862451320204,0.014774863379309798,0,1,0
26,MT,30,244783,343590,17365,0.4041070561860078,0.5672254340985706,0.028667509715421518,0,1,0
27,NC,37,2683787,2757112,81719,0.4859628169103856,0.49924003434602937,0.014797148743585018,0,1,0
28,ND,38,114901,235585,11322,0.31757451465970904,0.651132644938752,0.031292840401538936,0,1,0
29,NE,31,371918,553781,20557,0.39304162932652476,0.5852338056509021,0.021724565022573174,0,1,0
30,NH,33,424937,365660,13856,0.5282309842837307,0.4545448895087718,0.01722412620749752,1,0,0
31,NJ,34,2415013,1756616,66343,0.5698510985914961,0.41449447990689886,0.015654421501605013,1,0,0
32,NM,35,501457,401814,20453,0.5428645352940922,0.43499356950777507,0.022141895198132776,1,0,0
33,NV,32,703486,669890,32000,0.5005678195728402,0.4766624732455941,0.022769707181565645,1,0,0
34,NY,36,3782181,2878396,97644,0.5596415092078226,0.4259103098285777,0.01444818096359974,1,0,0
35,OH,39,2603677,3074400,86510,0.4516675695934505,0.5333252841877484,0.015007146218801105,0,1,0
36,OK,40,503890,1020280,36529,0.32286174335986634,0.6537327184806295,0.02340553815950417,0,1,0
37,OR,41,1333467,952435,71971,0.5655380930185807,0.4039382104125201,0.030523696568899174,1,0,0
38,PA,42,3425898,3357691,85631,0.49873173373396107,0.4888023676632864,0.012465898602752568,1,0,0
39,RI,44,306192,199830,7580,0.5961659027807524,0.3890755877118859,0.014758509507361732,1,0,0
40,SC,45,1091541,1385103,36685,0.43430088142061785,0.5511029395674024,0.014596179011979729,0,1,0
41,SD,46,150471,261043,11095,0.3560525213613529,0.6176938967225024,0.02625358191614471,0,1,0
42,TN,47,1139376,1849820,60318,0.37362543670893134,0.6065950180914074,0.019779545199661325,0,1,0
43,TX,48,5232037,5870381,170984,0.46410453561400544,0.5207284367221181,0.015167027663876441,0,1,0
44,UT,49,554028,848863,60989,0.37846544798753995,0.5798719840424078,0.04166256797005219,0,1,0
45,VA,51,2413328,1962703,66573,0.543223748954442,0.44179112070308313,0.014985130342474819,1,0,0
46,VT,50,242820,112704,12268,0.6602101187627789,0.3064340714316788,0.033355809805542265,1,0,0
47,WA,53,2356752,1572508,104869,0.5842034302819766,0.3898011193990078,0.025995450319015578,1,0,0
48,WI,55,1630601,1610074,56492,0.4945460754641788,0.48832042780969237,0.017133496726128825,1,0,0
49,WV,54,235657,544826,13419,0.2968338661446879,0.6862635438630964,0.016902589992215663,0,1,0
50,WY,56,73491,193559,9715,0.26553574332014523,0.6993622748541181,0.035101981825736636,0,1,0
